INDICATOR|CODE
percentage of population (15+), 70-74, female, incomplete primary|BAR_PRM_ICMP_7074_FE_ZS
percentage of population (15+), 70-74, female, incomplete secondary|BAR_SEC_ICMP_7074_FE_ZS
percentage of population (15+), 70-74, female, incomplete tertiary|BAR_TER_ICMP_7074_FE_ZS
percentage of population (15+), 70-74, female, no education|BAR_NOED_7074_FE_ZS
percentage of population (15+), 70-74, total, completed primary|BAR_PRM_CMPT_7074_ZS
percentage of population (15+), 70-74, total, completed secondary|BAR_SEC_CMPT_7074_ZS
percentage of population (15+), 70-74, total, completed tertiary|BAR_TER_CMPT_7074_ZS
percentage of population (15+), 70-74, total, incomplete primary|BAR_PRM_ICMP_7074_ZS
percentage of population (15+), 70-74, total, incomplete secondary|BAR_SEC_ICMP_7074_ZS
percentage of population (15+), 70-74, total, incomplete tertiary|BAR_TER_ICMP_7074_ZS
percentage of population (15+), 70-74, total, no education|BAR_NOED_7074_ZS
percentage of population (15+), 75+, female, completed primary|BAR_PRM_CMPT_75UP_FE_ZS
percentage of population (15+), 75+, female, completed secondary|BAR_SEC_CMPT_75UP_FE_ZS
percentage of population (15+), 75+, female, completed tertiary|BAR_TER_CMPT_75UP_FE_ZS
percentage of population (15+), 75+, female, incomplete primary|BAR_PRM_ICMP_75UP_FE_ZS
percentage of population (15+), 75+, female, incomplete secondary|BAR_SEC_ICMP_75UP_FE_ZS
percentage of population (15+), 75+, female, incomplete tertiary|BAR_TER_ICMP_75UP_FE_ZS
percentage of population (15+), 75+, female, no education|BAR_NOED_75UP_FE_ZS
percentage of population (15+), 75+, total, completed primary|BAR_PRM_CMPT_75UP_ZS
percentage of population (15+), 75+, total, completed secondary|BAR_SEC_CMPT_75UP_ZS
percentage of population (15+), 75+, total, completed tertiary|BAR_TER_CMPT_75UP_ZS
percentage of population (15+), 75+, total, incomplete primary|BAR_PRM_ICMP_75UP_ZS
percentage of population (15+), 75+, total, incomplete secondary|BAR_SEC_ICMP_75UP_ZS
percentage of population (15+), 75+, total, incomplete tertiary|BAR_TER_ICMP_75UP_ZS
percentage of population (15+), 75+, total, no education|BAR_NOED_75UP_ZS
Percentage of private enrolment.  Lower secondary. General programmes|UIS_PRP_2_GPV
Percentage of private enrolment.  Lower secondary. Technical/vocational programmes|UIS_PRP_2_V
Percentage of private enrolment.  Pre-primary.|SE_PRE_PRIV_ZS
Percentage of private enrolment.  Upper secondary. General programmes|UIS_PRP_3_GPV
Percentage of private enrolment.  Upper secondary. Technical/vocational programmes|UIS_PRP_3_V
Percentage of repeaters in lower secondary. All grades. Female|UIS_REPP_2_GPV_F
Percentage of repeaters in lower secondary. All grades. Male|UIS_REPP_2_GPV_M
Percentage of repeaters in lower secondary. All grades. Total|UIS_REPP_2_GPV
Percentage of repeaters in primary. Grade 1. Male|UIS_REPP_1_G1_M
Percentage of repeaters in primary. Grade 1. Total|UIS_REPP_1_G1
Percentage of repeaters in primary. Grade 1.Female|UIS_REPP_1_G1_F
Percentage of repeaters in primary. Grade 2. Female|UIS_REPP_1_G2_F
Percentage of repeaters in primary. Grade 2. Male|UIS_REPP_1_G2_M
Percentage of repeaters in primary. Grade 2. Total|UIS_REPP_1_G2
Percentage of repeaters in primary. Grade 3. Female|UIS_REPP_1_G3_F
Percentage of repeaters in primary. Grade 3. Male|UIS_REPP_1_G3_M
Percentage of repeaters in primary. Grade 3. Total|UIS_REPP_1_G3
Percentage of repeaters in primary. Grade 4. Female|UIS_REPP_1_G4_F
Percentage of repeaters in primary. Grade 4. Male|UIS_REPP_1_G4_M
Percentage of repeaters in primary. Grade 4. Total|UIS_REPP_1_G4
Percentage of repeaters in primary. Grade 5. Female|UIS_REPP_1_G5_F
Percentage of repeaters in primary. Grade 5. Male|UIS_REPP_1_G5_M
Percentage of repeaters in primary. Grade 5. Total|UIS_REPP_1_G5
Percentage of repeaters in primary. Grade 6. Female|UIS_REPP_1_G6_F
Percentage of repeaters in primary. Grade 6. Male|UIS_REPP_1_G6_M
Percentage of repeaters in primary. Grade 6. Total|UIS_REPP_1_G6
Percentage of repeaters in primary. Grade 7. Female|UIS_REPP_1_G7_F
Percentage of repeaters in primary. Grade 7. Male|UIS_REPP_1_G7_M
Percentage of repeaters in primary. Grade 7. Total|UIS_REPP_1_G7
Percentage of repeaters in secondary. Grade 1. Female|UIS_REPP_23_GPV_G1_F
Percentage of repeaters in secondary. Grade 1. Male|UIS_REPP_23_GPV_G1_M
Percentage of repeaters in secondary. Grade 1. Total|UIS_REPP_23_GPV_G1
Percentage of repeaters in secondary. Grade 2. Female|UIS_REPP_23_GPV_G2_F
Percentage of repeaters in secondary. Grade 2. Male|UIS_REPP_23_GPV_G2_M
Percentage of repeaters in secondary. Grade 2. Total|UIS_REPP_23_GPV_G2
Percentage of repeaters in secondary. Grade 3. Female|UIS_REPP_23_GPV_G3_F
Percentage of repeaters in secondary. Grade 3. Male|UIS_REPP_23_GPV_G3_M
Percentage of repeaters in secondary. Grade 3. Total|UIS_REPP_23_GPV_G3
Percentage of repeaters in secondary. Grade 4. Female|UIS_REPP_23_GPV_G4_F
Percentage of repeaters in secondary. Grade 4. Male|UIS_REPP_23_GPV_G4_M
Percentage of repeaters in secondary. Grade 4. Total|UIS_REPP_23_GPV_G4
Percentage of repeaters in secondary. Grade 5. Female|UIS_REPP_23_GPV_G5_F
Percentage of repeaters in secondary. Grade 5. Male|UIS_REPP_23_GPV_G5_M
Percentage of repeaters in secondary. Grade 5. Total|UIS_REPP_23_GPV_G5
Percentage of repeaters in secondary. Grade 6. Female|UIS_REPP_23_GPV_G6_F
Percentage of repeaters in secondary. Grade 6. Male|UIS_REPP_23_GPV_G6_M
Percentage of repeaters in secondary. Grade 6. Total|UIS_REPP_23_GPV_G6
Percentage of repeaters in secondary. Grade 7. Female|UIS_REPP_23_GPV_G7_F
Percentage of repeaters in secondary. Grade 7. Male|UIS_REPP_23_GPV_G7_M
Percentage of repeaters in secondary. Grade 7. Total|UIS_REPP_23_GPV_G7
Percentage of repeaters in secondary. Grade 8. Female|UIS_REPP_23_GPV_G8_F
Percentage of repeaters in secondary. Grade 8. Male|UIS_REPP_23_GPV_G8_M
Percentage of repeaters in secondary. Grade 8. Total|UIS_REPP_23_GPV_G8
Percentage of repeaters in upper secondary. All grades. Female|UIS_REPP_3_GPV_F
Percentage of repeaters in upper secondary. All grades. Male|UIS_REPP_3_GPV_M
Percentage of repeaters in upper secondary. All grades. Total|UIS_REPP_3_GPV
Percentage of tertiary enrolments (ISCED 5 and 6) in agriculture|UIS_FOSEP_56_F600
Percentage of tertiary enrolments (ISCED 5 and 6) in education|UIS_FOSEP_56_F140
Percentage of tertiary enrolments (ISCED 5 and 6) in engineering, manufacturing and construction|UIS_FOSEP_56_F500
Percentage of tertiary enrolments (ISCED 5 and 6) in health and welfare|UIS_FOSEP_56_F700
Percentage of tertiary enrolments (ISCED 5 and 6) in humanities and arts|UIS_FOSEP_56_F200
Percentage of tertiary enrolments (ISCED 5 and 6) in science|UIS_FOSEP_56_F400
Percentage of tertiary enrolments (ISCED 5 and 6) in services|UIS_FOSEP_56_F800
Percentage of tertiary enrolments (ISCED 5 and 6) in social sciences, business and law|UIS_FOSEP_56_F300
Percentage of tertiary enrolments (ISCED 5 and 6) in unspecified and general programmes|UIS_FOSEP_56_FUK
Percentage of trained teachers.  Lower secondary.  Female|UIS_TRTP_2_F
Percentage of trained teachers.  Lower secondary.  Male|UIS_TRTP_2_M
Percentage of trained teachers.  Lower secondary.  Total|UIS_TRTP_2
Percentage of trained teachers.  Pre-primary.  Female|UIS_TRTP_0_F
Percentage of trained teachers.  Pre-primary.  Male|UIS_TRTP_0_M
Percentage of trained teachers.  Pre-primary.  Total|UIS_TRTP_0
Percentage of trained teachers.  Upper secondary.  Female|UIS_TRTP_3_F
Percentage of trained teachers.  Upper secondary.  Male|UIS_TRTP_3_M
Percentage of trained teachers.  Upper secondary.  Total|UIS_TRTP_3
PIRLS:Mean performance on the reading scale, female|LO_PIRLS_REA_FE
PIRLS:Mean performance on the reading scale, male|LO_PIRLS_REA_MA
PIRLS:Mean performance on the reading scale, total|LO_PIRLS_REA
PIRLS:Students reaching the advanced international benchmark in reading achievement (%)|LO_PIRLS_REA_ADV
PIRLS:Students reaching the low international benchmark in reading achievement (%)|LO_PIRLS_REA_LOW
PISA:Mean performance on the mathematics scale|LO_PISA_MAT
PISA:Mean performance on the mathematics scale, female|LO_PISA_MAT_FE
PISA:Mean performance on the mathematics scale, male |LO_PISA_MAT_MA
PISA:Mean performance on the reading scale|LO_PISA_REA
PISA:Mean performance on the reading scale, female|LO_PISA_REA_FE
PISA:Mean performance on the reading scale, male|LO_PISA_REA_MA
PISA:Mean performance on the science scale|LO_PISA_SCI
PISA:Mean performance on the science scale, female|LO_PISA_SCI_FE
PISA:Mean performance on the science scale, male|LO_PISA_SCI_MA
PISA:Students at the highest level of proficiency on the mathematics scale (%)|LO_PISA_MAT_HIG
PISA:Students at the highest level of proficiency on the mathematics scale (%), female   |LO_PISA_MAT_HIG_FE
PISA:Students at the highest level of proficiency on the mathematics scale (%), male  |LO_PISA_MAT_HIG_MA
PISA:Students at the highest level of proficiency on the reading scale (%)|LO_PISA_REA_HIG
PISA:Students at the highest level of proficiency on the reading scale (%), female |LO_PISA_REA_HIG_FE
PISA:Students at the highest level of proficiency on the reading scale (%), male |LO_PISA_REA_HIG_MA
PISA:Students at the highest level of proficiency on the science scale (%)|LO_PISA_SCI_HIG
PISA:Students at the highest level of proficiency on the science scale (%), female |LO_PISA_SCI_HIG_FE
PISA:Students at the highest level of proficiency on the science scale (%), male |LO_PISA_SCI_HIG_MA
PISA:Students at the lowest level of proficiency on the mathematics scale (%)|LO_PISA_MAT_LOW
PISA:Students at the lowest level of proficiency on the mathematics scale (%), female |LO_PISA_MAT_LOW_FE
PISA:Students at the lowest level of proficiency on the mathematics scale (%), male |LO_PISA_MAT_LOW_MA
PISA:Students at the lowest level of proficiency on the reading scale (%)|LO_PISA_REA_LOW
PISA:Students at the lowest level of proficiency on the reading scale (%), female |LO_PISA_REA_LOW_FE
PISA:Students at the lowest level of proficiency on the reading scale (%), male |LO_PISA_REA_LOW_MA
PISA:Students at the lowest level of proficiency on the science scale (%)|LO_PISA_SCI_LOW
PISA:Students at the lowest level of proficiency on the science scale (%), female |LO_PISA_SCI_LOW_FE
PISA:Students at the lowest level of proficiency on the science scale (%), male |LO_PISA_SCI_LOW_MA
Population by educational attainment, no-school, female (aged 0-4)|GER_PRE_POP_ATTN_0004_FE
Population by educational attainment, no-school, female (aged 10-14)|GER_PRE_POP_ATTN_1014_FE
Population by educational attainment, no-school, female (aged 15-19)|GER_PRE_POP_ATTN_1519_FE
Population by educational attainment, no-school, female (aged 20-24)|GER_PRE_POP_ATTN_2024_FE
Population by educational attainment, no-school, female (aged 25-29)|GER_PRE_POP_ATTN_2529_FE
Population by educational attainment, no-school, female (aged 30-34)|GER_PRE_POP_ATTN_3034_FE
Population by educational attainment, no-school, female (aged 35-39)|GER_PRE_POP_ATTN_3539_FE
Population by educational attainment, no-school, female (aged 40-44)|GER_PRE_POP_ATTN_4044_FE
Population by educational attainment, no-school, female (aged 45-49)|GER_PRE_POP_ATTN_4549_FE
Population by educational attainment, no-school, female (aged 5-9)|GER_PRE_POP_ATTN_0509_FE
Population by educational attainment, no-school, female (aged 50-54)|GER_PRE_POP_ATTN_5054_FE
Population by educational attainment, no-school, female (aged 55-59)|GER_PRE_POP_ATTN_5559_FE
Population by educational attainment, no-school, female (aged 60-64)|GER_PRE_POP_ATTN_6064_FE
Population by educational attainment, no-school, female (aged 65-69)|GER_PRE_POP_ATTN_6569_FE
Population by educational attainment, no-school, female (aged 70-74)|GER_PRE_POP_ATTN_7074_FE
Population by educational attainment, no-school, female (aged 75+)|GER_PRE_POP_ATTN_75UP_FE
Population by educational attainment, no-school, male (aged 0-4)|GER_PRE_POP_ATTN_0004_MA
Population by educational attainment, no-school, male (aged 10-14)|GER_PRE_POP_ATTN_1014_MA
Population by educational attainment, no-school, male (aged 15-19)|GER_PRE_POP_ATTN_1519_MA
Population by educational attainment, no-school, male (aged 20-24)|GER_PRE_POP_ATTN_2024_MA
Population by educational attainment, no-school, male (aged 25-29)|GER_PRE_POP_ATTN_2529_MA
Population by educational attainment, no-school, male (aged 30-34)|GER_PRE_POP_ATTN_3034_MA
Population by educational attainment, no-school, male (aged 35-39)|GER_PRE_POP_ATTN_3539_MA
Population by educational attainment, no-school, male (aged 40-44)|GER_PRE_POP_ATTN_4044_MA
Population by educational attainment, no-school, male (aged 45-49)|GER_PRE_POP_ATTN_4549_MA
Population by educational attainment, no-school, male (aged 5-9)|GER_PRE_POP_ATTN_0509_MA
Population by educational attainment, no-school, male (aged 50-54)|GER_PRE_POP_ATTN_5054_MA
Population by educational attainment, no-school, male (aged 55-59)|GER_PRE_POP_ATTN_5559_MA
Population by educational attainment, no-school, male (aged 60-64)|GER_PRE_POP_ATTN_6064_MA
Population by educational attainment, no-school, male (aged 65-69)|GER_PRE_POP_ATTN_6569_MA
Population by educational attainment, no-school, male (aged 70-74)|GER_PRE_POP_ATTN_7074_MA
Population by educational attainment, no-school, male (aged 75+)|GER_PRE_POP_ATTN_75UP_MA
Population by educational attainment, primary, female (aged 0-4)|GER_PRI_POP_ATTN_0004_FE
Population by educational attainment, primary, female (aged 10-14)|GER_PRI_POP_ATTN_1014_FE
Population by educational attainment, primary, female (aged 15-19)|GER_PRI_POP_ATTN_1519_FE
Population by educational attainment, primary, female (aged 20-24)|GER_PRI_POP_ATTN_2024_FE
Population by educational attainment, primary, female (aged 25-29)|GER_PRI_POP_ATTN_2529_FE
Population by educational attainment, primary, female (aged 30-34)|GER_PRI_POP_ATTN_3034_FE
Population by educational attainment, primary, female (aged 35-39)|GER_PRI_POP_ATTN_3539_FE
Population by educational attainment, primary, female (aged 40-44)|GER_PRI_POP_ATTN_4044_FE
Population by educational attainment, primary, female (aged 45-49)|GER_PRI_POP_ATTN_4549_FE
Population by educational attainment, primary, female (aged 5-9)|GER_PRI_POP_ATTN_0509_FE
Population by educational attainment, primary, female (aged 50-54)|GER_PRI_POP_ATTN_5054_FE
Population by educational attainment, primary, female (aged 55-59)|GER_PRI_POP_ATTN_5559_FE
Population by educational attainment, primary, female (aged 60-64)|GER_PRI_POP_ATTN_6064_FE
Population by educational attainment, primary, female (aged 65-69)|GER_PRI_POP_ATTN_6569_FE
Population by educational attainment, primary, female (aged 70-74)|GER_PRI_POP_ATTN_7074_FE
Population by educational attainment, primary, female (aged 75+)|GER_PRI_POP_ATTN_75UP_FE
Population by educational attainment, primary, male (aged 0-4)|GER_PRI_POP_ATTN_0004_MA
Population by educational attainment, primary, male (aged 10-14)|GER_PRI_POP_ATTN_1014_MA
Population by educational attainment, primary, male (aged 15-19)|GER_PRI_POP_ATTN_1519_MA
Population by educational attainment, primary, male (aged 20-24)|GER_PRI_POP_ATTN_2024_MA
Population by educational attainment, primary, male (aged 25-29)|GER_PRI_POP_ATTN_2529_MA
Population by educational attainment, primary, male (aged 30-34)|GER_PRI_POP_ATTN_3034_MA
Population by educational attainment, primary, male (aged 35-39)|GER_PRI_POP_ATTN_3539_MA
Population by educational attainment, primary, male (aged 40-44)|GER_PRI_POP_ATTN_4044_MA
Population by educational attainment, primary, male (aged 45-49)|GER_PRI_POP_ATTN_4549_MA
Population by educational attainment, primary, male (aged 5-9)|GER_PRI_POP_ATTN_0509_MA
Population by educational attainment, primary, male (aged 50-54)|GER_PRI_POP_ATTN_5054_MA
Population by educational attainment, primary, male (aged 55-59)|GER_PRI_POP_ATTN_5559_MA
Population by educational attainment, primary, male (aged 60-64)|GER_PRI_POP_ATTN_6064_MA
Population by educational attainment, primary, male (aged 65-69)|GER_PRI_POP_ATTN_6569_MA
Population by educational attainment, primary, male (aged 70-74)|GER_PRI_POP_ATTN_7074_MA
Population by educational attainment, primary, male (aged 75+)|GER_PRI_POP_ATTN_75UP_MA
Population by educational attainment, secondary, female (aged 0-4)|GER_SEC_POP_ATTN_0004_FE
Population by educational attainment, secondary, female (aged 10-14)|GER_SEC_POP_ATTN_1014_FE
Population by educational attainment, secondary, female (aged 15-19)|GER_SEC_POP_ATTN_1519_FE
Population by educational attainment, secondary, female (aged 20-24)|GER_SEC_POP_ATTN_2024_FE
Population by educational attainment, secondary, female (aged 25-29)|GER_SEC_POP_ATTN_2529_FE
Population by educational attainment, secondary, female (aged 30-34)|GER_SEC_POP_ATTN_3034_FE
Population by educational attainment, secondary, female (aged 35-39)|GER_SEC_POP_ATTN_3539_FE
Population by educational attainment, secondary, female (aged 40-44)|GER_SEC_POP_ATTN_4044_FE
Population by educational attainment, secondary, female (aged 45-49)|GER_SEC_POP_ATTN_4549_FE
Population by educational attainment, secondary, female (aged 5-9)|GER_SEC_POP_ATTN_0509_FE
Population by educational attainment, secondary, female (aged 50-54)|GER_SEC_POP_ATTN_5054_FE
Population by educational attainment, secondary, female (aged 55-59)|GER_SEC_POP_ATTN_5559_FE
Population by educational attainment, secondary, female (aged 60-64)|GER_SEC_POP_ATTN_6064_FE
Population by educational attainment, secondary, female (aged 65-69)|GER_SEC_POP_ATTN_6569_FE
Population by educational attainment, secondary, female (aged 70-74)|GER_SEC_POP_ATTN_7074_FE
Population by educational attainment, secondary, female (aged 75+)|GER_SEC_POP_ATTN_75UP_FE
Population by educational attainment, secondary, male (aged 0-4)|GER_SEC_POP_ATTN_0004_MA
Population by educational attainment, secondary, male (aged 10-14)|GER_SEC_POP_ATTN_1014_MA
Population by educational attainment, secondary, male (aged 15-19)|GER_SEC_POP_ATTN_1519_MA
Population by educational attainment, secondary, male (aged 20-24)|GER_SEC_POP_ATTN_2024_MA
Population by educational attainment, secondary, male (aged 25-29)|GER_SEC_POP_ATTN_2529_MA
Population by educational attainment, secondary, male (aged 30-34)|GER_SEC_POP_ATTN_3034_MA
Population by educational attainment, secondary, male (aged 35-39)|GER_SEC_POP_ATTN_3539_MA
Population by educational attainment, secondary, male (aged 40-44)|GER_SEC_POP_ATTN_4044_MA
Population by educational attainment, secondary, male (aged 45-49)|GER_SEC_POP_ATTN_4549_MA
Population by educational attainment, secondary, male (aged 5-9)|GER_SEC_POP_ATTN_0509_MA
Population by educational attainment, secondary, male (aged 50-54)|GER_SEC_POP_ATTN_5054_MA
Population by educational attainment, secondary, male (aged 55-59)|GER_SEC_POP_ATTN_5559_MA
Population by educational attainment, secondary, male (aged 60-64)|GER_SEC_POP_ATTN_6064_MA
Population by educational attainment, secondary, male (aged 65-69)|GER_SEC_POP_ATTN_6569_MA
Population by educational attainment, secondary, male (aged 70-74)|GER_SEC_POP_ATTN_7074_MA
Population by educational attainment, secondary, male (aged 75+)|GER_SEC_POP_ATTN_75UP_MA
population in thousand, 15-19, female, no education|MYS_POP_1519_NED_FE
population in thousand, 15-19, female, primary|MYS_POP_1519_PRI_FE
population in thousand, 15-19, female, secondary|MYS_POP_1519_SEC_FE
population in thousand, 15-19, female, tertiary|MYS_POP_1519_TER_FE
population in thousand, 15-19, male, no education|MYS_POP_1519_NED_MA
population in thousand, 15-19, male, primary|MYS_POP_1519_PRI_MA
population in thousand, 15-19, male, secondary|MYS_POP_1519_SEC_MA
population in thousand, 15-19, male, tertiary|MYS_POP_1519_TER_MA
population in thousand, 15-19, total, no education|MYS_POP_1519_NED_MF
population in thousand, 15-19, total, primary|MYS_POP_1519_PRI_MF
population in thousand, 15-19, total, secondary|MYS_POP_1519_SEC_MF
population in thousand, 15-19, total, tertiary|MYS_POP_1519_TER_MF
population in thousand, 15-44, female, no education|MYS_POP_1544_NED_FE
population in thousand, 15-44, female, primary|MYS_POP_1544_PRI_FE
population in thousand, 15-44, female, secondary|MYS_POP_1544_SEC_FE
population in thousand, 15-44, female, tertiary|MYS_POP_1544_TER_FE
population in thousand, 15-44, male, no education|MYS_POP_1544_NED_MA
population in thousand, 15-44, male, primary|MYS_POP_1544_PRI_MA
population in thousand, 15-44, male, secondary|MYS_POP_1544_SEC_MA
population in thousand, 15-44, male, tertiary|MYS_POP_1544_TER_MA
population in thousand, 15-44, total, no education|MYS_POP_1544_NED_MF
population in thousand, 15-44, total, primary|MYS_POP_1544_PRI_MF
population in thousand, 15-44, total, secondary|MYS_POP_1544_SEC_MF
population in thousand, 15-44, total, tertiary|MYS_POP_1544_TER_MF
population in thousand, 15-64, female, no education|MYS_POP_1564_NED_FE
population in thousand, 15-64, female, primary|MYS_POP_1564_PRI_FE
population in thousand, 15-64, female, secondary|MYS_POP_1564_SEC_FE
population in thousand, 15-64, female, tertiary|MYS_POP_1564_TER_FE
population in thousand, 15-64, male, no education|MYS_POP_1564_NED_MA
population in thousand, 15-64, male, primary|MYS_POP_1564_PRI_MA
population in thousand, 15-64, male, secondary|MYS_POP_1564_SEC_MA
population in thousand, 15-64, male, tertiary|MYS_POP_1564_TER_MA
population in thousand, 15-64, total, no education|MYS_POP_1564_NED_MF
population in thousand, 15-64, total, primary|MYS_POP_1564_PRI_MF
population in thousand, 15-64, total, secondary|MYS_POP_1564_SEC_MF
population in thousand, 15-64, total, tertiary|MYS_POP_1564_TER_MF
population in thousand, 15+, female, no education|MYS_POP_15UP_NED_FE
population in thousand, 15+, female, primary|MYS_POP_15UP_PRI_FE
population in thousand, 15+, female, secondary|MYS_POP_15UP_SEC_FE
population in thousand, 15+, female, tertiary|MYS_POP_15UP_TER_FE
population in thousand, 15+, male, no education|MYS_POP_15UP_NED_MA
population in thousand, 15+, male, primary|MYS_POP_15UP_PRI_MA
population in thousand, 15+, male, secondary|MYS_POP_15UP_SEC_MA
population in thousand, 15+, male, tertiary|MYS_POP_15UP_TER_MA
population in thousand, 15+, total, no education|MYS_POP_15UP_NED_MF
population in thousand, 15+, total, primary|MYS_POP_15UP_PRI_MF
population in thousand, 15+, total, secondary|MYS_POP_15UP_SEC_MF
population in thousand, 15+, total, tertiary|MYS_POP_15UP_TER_MF
population in thousand, 20 - 24, female, no education|MYS_POP_2024_NED_FE
population in thousand, 20 - 24, female, primary|MYS_POP_2024_PRI_FE
population in thousand, 20 - 24, female, secondary|MYS_POP_2024_SEC_FE
population in thousand, 20 - 24, female, tertiary|MYS_POP_2024_TER_FE
population in thousand, 20 - 24, male, noedu|MYS_POP_2024_NED_MA
population in thousand, 20 - 24, male, primary|MYS_POP_2024_PRI_MA
population in thousand, 20 - 24, male, secondary|MYS_POP_2024_SEC_MA
population in thousand, 20 - 24, male, tertiary|MYS_POP_2024_TER_MA
population in thousand, 20 - 24, total, primary|MYS_POP_2024_PRI_MF
population in thousand, 20 - 24, total, secondary|MYS_POP_2024_SEC_MF
population in thousand, 20 - 24, total, tertiary|MYS_POP_2024_TER_MF
population in thousand, 20 - 24,total, no education|MYS_POP_2024_NED_MF
population in thousand, 25 - 29, female, no education|MYS_POP_2529_NED_FE
population in thousand, 25 - 29, female, primary|MYS_POP_2529_PRI_FE
population in thousand, 25 - 29, female, secondary|MYS_POP_2529_SEC_FE
population in thousand, 25 - 29, female, tertiary|MYS_POP_2529_TER_FE
population in thousand, 25 - 29, male, no education|MYS_POP_2529_NED_MA
population in thousand, 25 - 29, male, primary|MYS_POP_2529_PRI_MA
population in thousand, 25 - 29, male, secondary|MYS_POP_2529_SEC_MA
population in thousand, 25 - 29, male, tertiary|MYS_POP_2529_TER_MA
population in thousand, 25 - 29, total, no education|MYS_POP_2529_NED_MF
population in thousand, 25 - 29, total, primary|MYS_POP_2529_PRI_MF
population in thousand, 25 - 29, total, secondary|MYS_POP_2529_SEC_MF
population in thousand, 25 - 29, total, tertiary|MYS_POP_2529_TER_MF
population in thousand, 25+, female, no education|MYS_POP_25UP_NED_FE
population in thousand, 25+, female, primary|MYS_POP_25UP_PRI_FE
population in thousand, 25+, female, secondary|MYS_POP_25UP_SEC_FE
population in thousand, 25+, female, tertiary|MYS_POP_25UP_TER_FE
population in thousand, 25+, male, no education|MYS_POP_25UP_NED_MA
population in thousand, 25+, male, primary|MYS_POP_25UP_PRI_MA
population in thousand, 25+, male, secondary|MYS_POP_25UP_SEC_MA
population in thousand, 25+, male, tertiary|MYS_POP_25UP_TER_MA
population in thousand, 25+, total, no education|MYS_POP_25UP_NED_MF
population in thousand, 25+, total, primary|MYS_POP_25UP_PRI_MF
population in thousand, 25+, total, secondary|MYS_POP_25UP_SEC_MF
population in thousand, 25+, total, tertiary|MYS_POP_25UP_TER_MF
population in thousand, 30 - 34, female, no education|MYS_POP_3034_NED_FE
population in thousand, 30 - 34, female, primary|MYS_POP_3034_PRI_FE
population in thousand, 30 - 34, female, secondary|MYS_POP_3034_SEC_FE
population in thousand, 30 - 34, female, tertiary|MYS_POP_3034_TER_FE
population in thousand, 30 - 34, male, no education|MYS_POP_3034_NED_MA
population in thousand, 30 - 34, male, primary|MYS_POP_3034_PRI_MA
population in thousand, 30 - 34, male, secondary|MYS_POP_3034_SEC_MA
population in thousand, 30 - 34, male, tertiary|MYS_POP_3034_TER_MA
population in thousand, 30 - 34, total, no education|MYS_POP_3034_NED_MF
population in thousand, 30 - 34, total, primary|MYS_POP_3034_PRI_MF
population in thousand, 30 - 34, total, secondary|MYS_POP_3034_SEC_MF
population in thousand, 30 - 34, total, tertiary|MYS_POP_3034_TER_MF
population in thousand, 35-39, female, no education|MYS_POP_3539_NED_FE
population in thousand, 35-39, female, primary|MYS_POP_3539_PRI_FE
population in thousand, 35-39, female, secondary|MYS_POP_3539_SEC_FE
population in thousand, 35-39, female, tertiary|MYS_POP_3539_TER_FE
population in thousand, 35-39, male, no education|MYS_POP_3539_NED_MA
population in thousand, 35-39, male, primary|MYS_POP_3539_PRI_MA
population in thousand, 35-39, male, secondary|MYS_POP_3539_SEC_MA
population in thousand, 35-39, male, tertiary|MYS_POP_3539_TER_MA
population in thousand, 35-39, total, no education|MYS_POP_3539_NED_MF
population in thousand, 35-39, total, primary|MYS_POP_3539_PRI_MF
population in thousand, 35-39, total, secondary|MYS_POP_3539_SEC_MF
population in thousand, 35-39, total, tertiary|MYS_POP_3539_TER_MF
population in thousand, 40-44, female, no education|MYS_POP_4044_NED_FE
population in thousand, 40-44, female, primary|MYS_POP_4044_PRI_FE
population in thousand, 40-44, female, secondary|MYS_POP_4044_SEC_FE
population in thousand, 40-44, female, tertiary|MYS_POP_4044_TER_FE
population in thousand, 40-44, male, no education|MYS_POP_4044_NED_MA
population in thousand, 40-44, male, primary|MYS_POP_4044_PRI_MA
population in thousand, 40-44, male, secondary|MYS_POP_4044_SEC_MA
population in thousand, 40-44, male, tertiary|MYS_POP_4044_TER_MA
population in thousand, 40-44, total, no education|MYS_POP_4044_NED_MF
population in thousand, 40-44, total, primary|MYS_POP_4044_PRI_MF
population in thousand, 40-44, total, secondary|MYS_POP_4044_SEC_MF
population in thousand, 40-44, total, tertiary|MYS_POP_4044_TER_MF
population in thousand, 45-49, female, no education|MYS_POP_4549_NED_FE
population in thousand, 45-49, female, primary|MYS_POP_4549_PRI_FE
population in thousand, 45-49, female, secondary|MYS_POP_4549_SEC_FE
population in thousand, 45-49, female, tertiary|MYS_POP_4549_TER_FE
population in thousand, 45-49, male, no education|MYS_POP_4549_NED_MA
population in thousand, 45-49, male, primary|MYS_POP_4549_PRI_MA
population in thousand, 45-49, male, secondary|MYS_POP_4549_SEC_MA
population in thousand, 45-49, male, tertiary|MYS_POP_4549_TER_MA
population in thousand, 45-49, total, no education|MYS_POP_4549_NED_MF
population in thousand, 45-49, total, primary|MYS_POP_4549_PRI_MF
population in thousand, 45-49, total, secondary|MYS_POP_4549_SEC_MF
population in thousand, 45-49, total, tertiary|MYS_POP_4549_TER_MF
population in thousand, 45-64, female, no education|MYS_POP_4564_NED_FE
population in thousand, 45-64, female, primary|MYS_POP_4564_PRI_FE
